location,date,cases,deaths,population
Alabama,2021-08-30,694523,12222,4876250
Alaska,2021-08-30,87203,421,737068
Arizona,2021-08-30,1011101,18787,7050299
Arkansas,2021-08-30,450265,6912,2999370
California,2021-08-30,4437703,65793,39283497
Colorado,2021-08-30,616979,7307,5610349
Connecticut,2021-08-30,372069,8358,3575074
Delaware,2021-08-30,119620,1877,957248
District of Columbia,2021-08-30,55253,1159,692683
Florida,2021-08-30,3231846,44553,20901636
Georgia,2021-08-30,1361867,21911,10403847
Hawaii,2021-08-30,60808,586,1422094
Idaho,2021-08-30,220248,2333,1717750
Illinois,2021-08-30,1522546,26472,12770631
Indiana,2021-08-30,858395,14419,6665703
Iowa,2021-08-30,402725,6268,3139508
Kansas,2021-08-30,370060,5583,2910652
Kentucky,2021-08-30,575024,7796,4449052
Louisiana,2021-08-30,679796,12359,4664362
Maine,2021-08-30,75381,930,1335492
Maryland,2021-08-30,496147,10004,6018848
Massachusetts,2021-08-30,758094,18229,6850553
Michigan,2021-08-30,1058585,21534,9965265
Minnesota,2021-08-30,646187,7898,5563378
Mississippi,2021-08-30,435611,8361,2984418
Missouri,2021-08-30,773082,11138,6104910
Montana,2021-08-30,126452,1787,1050649
Nebraska,2021-08-30,243118,2587,1914571
Nevada,2021-08-30,389358,6479,2972382
New Hampshire,2021-08-30,107474,1416,1348124
New Jersey,2021-08-30,1089838,26864,8878503
New Mexico,2021-08-30,231785,4514,2092454
New York,2021-08-30,2272334,53823,19572319
North Carolina,2021-08-30,1209923,14428,10264876
North Dakota,2021-08-30,117009,1592,756717
Ohio,2021-08-30,1214986,20799,11655397
Oklahoma,2021-08-30,550239,7812,3932870
Oregon,2021-08-30,273896,3170,4129803
Pennsylvania,2021-08-30,1297119,28214,12791530
Rhode Island,2021-08-30,162325,2769,1057231
South Carolina,2021-08-30,730685,10562,5020806
South Dakota,2021-08-30,131239,2067,870638
Tennessee,2021-08-30,1023395,13322,6709356
Texas,2021-08-30,3582287,56975,28260856
Utah,2021-08-30,463284,2628,3096848
Vermont,2021-08-30,28044,275,624313
Virginia,2021-08-30,762948,11810,8454463
Washington,2021-08-30,561423,6591,7404107
West Virginia,2021-08-30,188660,3074,1817305
Wisconsin,2021-08-30,731529,8445,5790716
Wyoming,2021-08-30,74756,835,581024
US,2021-08-30,39156379,639081,324697795
